Data Set 1: Current / A,Data Set 1: Uncertainty / A,Data Set 2: x/ m,Data Set 2: F / N,Data Set 2: Std F / N,Equations numbers,Data Set 3: time / s,Data Set 3: Position / m,Data Set 3: Std of position / m
67015295.79932892,2954222.750223891,0.016287782760359006,0.00031326747043056835,6.460269118792519e-05,7.0,0.224712903069046,1.012859403109691,1.534547399130644
73124607.1959869,2975751.281731055,0.04928098373647084,0.00030892627032763116,2.2647721089505942e-05,8.0,0.5259567437648391,4.5689757621217355,3.1965967745529733
65357707.87234564,2726885.0222117645,0.08227418471258269,0.00032987038875384055,7.3075112988336795e-06,,0.7982248801248754,6.1311912097498045,4.581773018091915
71773941.64390689,2998207.8514377456,0.11526738568869452,0.0002938502993825667,1.502632385235662e-05,,1.1000043225096545,6.600166532853867,6.042494830721957
68958114.2547087,2972117.6907916986,0.14826058666480635,0.0002716457229265913,5.903291273605314e-05,,1.3835433039314344,14.67883328760247,7.36486850516845
65432294.8873274,2921981.060442043,0.18125378764091818,0.0002808588057391417,9.787502154222024e-06,,1.6482441504506233,16.586681365956096,8.56592500433813
68562581.16876192,2818474.975963341,0.21424698861703004,0.00021548689533329912,2.8889652480552658e-05,,1.9346090136711478,26.50866424971851,9.83583749779192
65787684.73494387,2941028.1196304583,0.24724018959314187,0.00022565555566940497,1.7354743029511925e-05,,2.2668382636032427,24.409825671242842,11.277324967713856
71091225.42359129,3125094.7961185467,0.2802333905692537,0.00019003797495913526,6.530244941118262e-05,,2.5579863405554035,31.63733368832402,12.516758499271768
67889467.9917487,3156435.2195219025,0.3132265915453656,0.0001788682490195067,7.537261640037601e-05,,2.843549838854339,48.91347249722159,13.713725670031158
73702180.46378392,2799601.6550785005,0.3462197925214774,0.00017267061985593173,1.2163107305775377e-05,,3.1298684300628965,55.381256582860644,14.897404140415093
66614991.126401834,3095067.0251604132,0.37921299349758925,0.0001860833006734174,5.353993511782362e-07,,3.41776731344324,61.21907959664569,16.072726931105592
70118054.49319643,3109449.0866443645,0.4122061944737011,0.00016631105862227542,7.498476257952676e-05,,3.68021781366464,60.2776142889993,17.132357829757833
72050584.01123995,3100775.2245122157,0.4451993954498129,0.00017293274466816995,1.4526625954801424e-05,,3.9914330661410795,71.41634853335226,18.375570356740532
72819241.99291459,2693532.8229224267,0.47819259642592477,0.00012669490261641532,1.9975380228723315e-05,,4.287970637466958,91.4143963704927,19.547826390707055
68663209.61967884,2812247.3906201497,0.5111857974020365,0.00012969735421273734,9.558993760532906e-06,,4.577207171718795,108.17820304266588,20.680552028938642
71890877.9325899,3148242.4528428484,0.5441789983781484,7.984552074874993e-05,6.0987347073164605e-05,,4.859325298391618,111.09140790203476,21.77597854379918
70406663.54571572,2823123.586510162,0.5771721993542602,5.7003762243627574e-05,3.1832711747767484e-05,,5.154375593965953,111.33935948443515,22.91233518077602
70964986.39297543,2835447.022257512,0.6101654003303721,5.6418142613161644e-05,2.7108507620290463e-05,,5.398399765030144,141.38748643341657,23.845432276513105
73522778.25952846,3122885.90341362,0.643158601306484,3.8946989929532494e-05,3.647603612877104e-05,,5.722037375237896,155.28679670609262,25.074109970139816
65462784.03423126,2935803.104428789,0.6761518022825957,1.7862298889899345e-05,5.614495795144992e-05,,6.007796645965109,150.4686432852717,26.151073699262685
71182419.37826371,2907638.17940439,0.7091450032587077,4.902669875239812e-05,5.725608489744214e-05,,6.2565426965009605,170.93587596331952,27.082830806064734
72600515.23911251,2748250.0609444682,0.7421382042348195,-1.1061961095845237e-06,1.8995006292070824e-05,,6.586422199177905,194.3793335762901,28.310724636731337
69366213.12648402,2766298.9456107514,0.7751314052109313,-4.8225989592795065e-05,5.5201432431874463e-05,,6.837076288457728,201.1479093432926,29.238078339953105
73452875.30850485,2852158.8392642033,0.8081246061870432,-4.1218998074043135e-05,7.219854598930923e-05,,7.159242773929324,214.85819521472862,30.42320802110979
69668092.90867275,2668583.3812155607,0.841117807163155,-7.457655456690951e-05,6.380331125229486e-05,,7.455667123734205,220.50864363692622,31.507194827924007
67463698.30230774,3151443.02498454,0.8741110081392668,-0.00010673689023996146,3.0043868651692894e-05,,7.739798401512186,237.05001545676365,32.54069350652526
66420755.76821328,2792979.2032535,0.9071042091153786,-9.756724502158609e-05,1.2085769404851932e-05,,8.02247929689074,265.4589770958383,33.56376809151433
68886507.75956146,2879138.8397852336,0.9400974100914905,-0.0001115220901933969,2.4507419879023278e-05,,8.324975308959507,268.1110200585038,34.6531022255272
70966816.18492523,2698843.433829228,0.9730906110676023,-0.00012961283809674338,2.76478321889948e-05,,8.59048483762936,304.91331490562084,35.60477484985667
69770730.86011805,2730464.1287685456,1.006083812043714,-0.00015578866533097512,3.762610419896774e-05,,8.900992226245224,332.5248955946388,36.71264063626417
72855008.5963394,2935936.4927345114,1.039077013019826,-0.0001651313386215583,5.190218251582552e-05,,9.190006179135018,354.36698733852836,37.73906634026671
65570431.34333375,3096153.755603679,1.0720702139959377,-0.00017807918081433617,5.313857645016431e-05,,9.45868479806993,374.20168798562014,38.689308297798306
73026773.44232035,3081479.1912527946,1.1050634149720495,-0.00015874229854303217,2.8008091874737832e-05,,9.770107164873258,367.40879822112987,39.78611043700537
71989191.49019557,2913189.288696503,1.1380566159481613,-0.00021712050859657586,4.554164241656893e-05,,10.004261317088556,395.08089305796483,40.607622165356354
65521550.6751761,2950393.579458403,1.1710498169242731,-0.00020214621291191062,3.477463851430031e-05,,,,
69395000.88096415,2841181.2176531004,1.2040430179003851,-0.00024557048645796145,7.799290660608329e-05,,,,
69381959.43266633,2763729.87095506,1.237036218876497,-0.00024836831038733254,7.788567761136177e-05,,,,
68098013.15502279,2690742.1261150884,1.2700294198526088,-0.00027167455007408845,5.077660273629954e-05,,,,
71713766.5567391,3137895.821616338,1.3030226208287206,-0.00028148812053605963,7.039510237729504e-05,,,,
68865012.97036138,3135736.515416302,,,,,,,
69715288.39434774,2801768.3868916016,,,,,,,
68819558.08644463,3012292.0327549903,,,,,,,
70956842.57186583,2795002.386397105,,,,,,,
71808746.5009351,3017054.193001088,,,,,,,
71350447.46078247,2910359.997175745,,,,,,,
70647143.53623152,2776386.5291854735,,,,,,,
69130687.8398114,2767678.2029778506,,,,,,,
67025028.41291165,3099290.7825606205,,,,,,,
66695148.82091571,2638767.274607577,,,,,,,
68451828.5991893,3039760.643676451,,,,,,,
66492141.67113277,2878344.051760801,,,,,,,
71333332.62644945,2954166.8544609514,,,,,,,
73059211.75412458,3154896.231223411,,,,,,,
72721845.53687339,3061566.680254275,,,,,,,
70586359.8911992,2788353.3906177497,,,,,,,
70811243.49248119,3013234.082495759,,,,,,,
69798296.0647983,2989674.1438335394,,,,,,,
72158106.17222786,2745853.0376742682,,,,,,,
70680082.60013,2645663.586500618,,,,,,,
70244518.49993372,2943661.4276558044,,,,,,,
70910865.52315879,2859057.9331336617,,,,,,,
66891573.825285904,3135182.66611375,,,,,,,
68533303.3429067,3033183.6370719112,,,,,,,
71539420.4185316,3149168.297192017,,,,,,,
69672399.7461344,2718931.7419317137,,,,,,,
67046464.38953871,2965415.3431264795,,,,,,,
71016803.16435252,3050816.4587539327,,,,,,,
66833781.65230731,2984078.7722473484,,,,,,,
72676728.6892904,2820465.8474359266,,,,,,,
70704969.32394107,2868014.726381531,,,,,,,
70852816.47991383,2717513.3417927907,,,,,,,
73032085.96322861,3049795.8609392736,,,,,,,
73386630.81845282,3063553.1902410123,,,,,,,
67950232.1433896,3039198.1524015856,,,,,,,
71915491.30714206,2979217.592911875,,,,,,,
65550612.2260804,2777138.406658642,,,,,,,
67683003.56015481,3117038.8273875522,,,,,,,
